Time_s,Pageouts_per_sec,Swapouts_per_sec
1.01,0,0
2.01,0,0
3.01,0,0
4.02,0,0
5.02,0,0
6.03,0,0
7.03,0,0
8.03,0,0
9.04,0,0
10.04,0,0
11.05,0,0
12.05,0,0
13.06,0,0
14.06,0,0
15.06,0,0
16.07,43,0
17.07,64,0
18.08,0,0
19.08,0,0
20.09,0,0
22.09,0,0
23.1,0,0
24.1,0,0
25.11,0,0
26.11,0,0
27.12,0,0
28.12,78,0
29.13,4,0
30.13,13,0
31.13,0,0
32.14,0,0
33.14,1,0
34.15,5,0
35.15,0,0
