Time_s,Pageouts_per_sec,Swapouts_per_sec
1.01,0,0
2.01,0,0
3.01,0,0
4.02,0,0
5.02,0,0
6.02,0,0
7.03,0,0
8.03,0,0
9.03,0,0
10.04,0,0
11.04,108,0
12.04,0,0
13.05,0,0
14.05,0,0
15.05,0,0
16.06,1,0
17.06,1,0
18.06,6,0
19.06,2,0
20.08,25,0
22.08,5,0
23.08,1,0
24.09,1,0
25.09,1,0
26.1,11,0
27.1,3,0
28.1,2,0
29.1,0,0
30.1,0,0
31.11,1,0
32.11,18,0
33.12,0,0
34.12,8,0
35.12,3,0
36.13,10,0
37.13,1,0
38.13,13,0
39.13,0,0
40.13,4,0
41.14,0,0
43.15,0,0
44.15,0,0
45.16,0,0
46.16,0,0
47.16,0,0
48.17,1,0
49.17,2,0
50.18,1,0
51.18,0,0
52.19,0,0
53.19,0,0
54.2,2,0
55.2,0,0
56.21,9,0
57.21,0,0
58.22,0,0
59.22,0,0
60.22,4,0
61.22,0,0
62.22,0,0
64.23,0,0
65.24,5,0
66.24,1,0
67.25,0,0
68.25,0,0
69.26,0,0
70.26,38,0
71.27,0,0
72.27,12,0
73.28,1,0
74.28,0,0
75.29,1,0
76.29,1,0
77.3,8,0
78.3,1,0
79.31,0,0
80.31,1,0
81.31,1,0
82.32,0,0
83.32,0,0
85.33,1,0
86.33,3,0
87.34,1,0
88.34,0,0
89.34,2,0
90.35,2,0
91.35,0,0
92.36,4,0
93.36,0,0
94.37,0,0
95.37,2,0
96.37,0,0
97.37,0,0
98.38,1,0
99.38,0,0
100.38,0,0
101.39,1,0
102.39,0,0
103.4,0,0
104.4,1,0
106.41,0,0
107.41,0,0
108.41,0,0
