Figure,Source File,Metric Definition,Included Runs,Excluded Runs,Axis Scale,Caption Checked,Matches Main Text,Notes
Fig1,,,,,,,YES/NO,YES/NO,
Fig2,,,,,,,YES/NO,YES/NO,
Fig3,,,,,,,YES/NO,YES/NO,
Fig4,,,,,,,YES/NO,YES/NO,
Fig5,,,,,,,YES/NO,YES/NO,
Fig6,,,,,,,YES/NO,YES/NO,
