Candidate,TopN,Budget,Keep Ratio,TTFT (ms),Total E2E (ms),Recall@10,Faithfulness,Relevance,Pareto Efficient,Acceptable Quality,Notes
P1,,,,,,,,,,,
P2,,,,,,,,,,,
P3,,,,,,,,,,,
