Exp ID,Model,Backend,Quant,Context Len,Max Tokens,Repeats,TTFT Mean (ms),TTFT Std,TPS Mean,TPS Std,Total Latency Mean (s),Success Rate,Notes
B1,,,,,,,,,,,,,
B2,,,,,,,,,,,,,
B3,,,,,,,,,,,,,
